table_name,affiliation,type
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,Sant Shri Asharam Ji Gurukul,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
